timestamp,date,year,month,day,hour,day_of_week,day_of_year,week_of_year,is_weekend,season,is_holiday,holiday_name,day_type
2022-01-01 00:00:00,2022-01-01,2022,1,1,0,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 01:00:00,2022-01-01,2022,1,1,1,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 02:00:00,2022-01-01,2022,1,1,2,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 03:00:00,2022-01-01,2022,1,1,3,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 04:00:00,2022-01-01,2022,1,1,4,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 05:00:00,2022-01-01,2022,1,1,5,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 06:00:00,2022-01-01,2022,1,1,6,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 07:00:00,2022-01-01,2022,1,1,7,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 08:00:00,2022-01-01,2022,1,1,8,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 09:00:00,2022-01-01,2022,1,1,9,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 10:00:00,2022-01-01,2022,1,1,10,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 11:00:00,2022-01-01,2022,1,1,11,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 12:00:00,2022-01-01,2022,1,1,12,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 13:00:00,2022-01-01,2022,1,1,13,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 14:00:00,2022-01-01,2022,1,1,14,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 15:00:00,2022-01-01,2022,1,1,15,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 16:00:00,2022-01-01,2022,1,1,16,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 17:00:00,2022-01-01,2022,1,1,17,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 18:00:00,2022-01-01,2022,1,1,18,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 19:00:00,2022-01-01,2022,1,1,19,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 20:00:00,2022-01-01,2022,1,1,20,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 21:00:00,2022-01-01,2022,1,1,21,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 22:00:00,2022-01-01,2022,1,1,22,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-01 23:00:00,2022-01-01,2022,1,1,23,5,1,52,1,Winter,1,New Year's Day,Holiday
2022-01-02 00:00:00,2022-01-02,2022,1,2,0,6,2,52,1,Winter,0,,Weekend
2022-01-02 01:00:00,2022-01-02,2022,1,2,1,6,2,52,1,Winter,0,,Weekend
2022-01-02 02:00:00,2022-01-02,2022,1,2,2,6,2,52,1,Winter,0,,Weekend
2022-01-02 03:00:00,2022-01-02,2022,1,2,3,6,2,52,1,Winter,0,,Weekend
2022-01-02 04:00:00,2022-01-02,2022,1,2,4,6,2,52,1,Winter,0,,Weekend
2022-01-02 05:00:00,2022-01-02,2022,1,2,5,6,2,52,1,Winter,0,,Weekend
2022-01-02 06:00:00,2022-01-02,2022,1,2,6,6,2,52,1,Winter,0,,Weekend
2022-01-02 07:00:00,2022-01-02,2022,1,2,7,6,2,52,1,Winter,0,,Weekend
2022-01-02 08:00:00,2022-01-02,2022,1,2,8,6,2,52,1,Winter,0,,Weekend
2022-01-02 09:00:00,2022-01-02,2022,1,2,9,6,2,52,1,Winter,0,,Weekend
2022-01-02 10:00:00,2022-01-02,2022,1,2,10,6,2,52,1,Winter,0,,Weekend
2022-01-02 11:00:00,2022-01-02,2022,1,2,11,6,2,52,1,Winter,0,,Weekend
2022-01-02 12:00:00,2022-01-02,2022,1,2,12,6,2,52,1,Winter,0,,Weekend
2022-01-02 13:00:00,2022-01-02,2022,1,2,13,6,2,52,1,Winter,0,,Weekend
2022-01-02 14:00:00,2022-01-02,2022,1,2,14,6,2,52,1,Winter,0,,Weekend
2022-01-02 15:00:00,2022-01-02,2022,1,2,15,6,2,52,1,Winter,0,,Weekend
2022-01-02 16:00:00,2022-01-02,2022,1,2,16,6,2,52,1,Winter,0,,Weekend
2022-01-02 17:00:00,2022-01-02,2022,1,2,17,6,2,52,1,Winter,0,,Weekend
2022-01-02 18:00:00,2022-01-02,2022,1,2,18,6,2,52,1,Winter,0,,Weekend
2022-01-02 19:00:00,2022-01-02,2022,1,2,19,6,2,52,1,Winter,0,,Weekend
2022-01-02 20:00:00,2022-01-02,2022,1,2,20,6,2,52,1,Winter,0,,Weekend
2022-01-02 21:00:00,2022-01-02,2022,1,2,21,6,2,52,1,Winter,0,,Weekend
2022-01-02 22:00:00,2022-01-02,2022,1,2,22,6,2,52,1,Winter,0,,Weekend
2022-01-02 23:00:00,2022-01-02,2022,1,2,23,6,2,52,1,Winter,0,,Weekend
2022-01-03 00:00:00,2022-01-03,2022,1,3,0,0,3,1,0,Winter,0,,Weekday
2022-01-03 01:00:00,2022-01-03,2022,1,3,1,0,3,1,0,Winter,0,,Weekday
2022-01-03 02:00:00,2022-01-03,2022,1,3,2,0,3,1,0,Winter,0,,Weekday
2022-01-03 03:00:00,2022-01-03,2022,1,3,3,0,3,1,0,Winter,0,,Weekday
